artist_name,artist_id
Bacilos,307
Backstreet Boys,308
Bad Books,309
Bad Bunny,310
Bad Company,311
Bad Flamingo,312
Bad Gyal,313
Bad Meets Evil,314
Bad Suns,315
Badfinger,316
Bag Raiders,317
Baha Men,318
Bahamas,319
Bailey Jehl,320
Bakar,321
Bakermat,322
Balduin,323
Baltic House Orchestra,324
Baltimora,325
Band Of Skulls,326
Band of Horses,327
Banda El Recodo,328
Banda Los Recoditos,329
Banda MS de Sergio Lizárraga,330
Banda Sinaloense MS de Sergio Lizárraga,331
Banda Tierra Sagrada,332
Baptiste Trotignon,333
Barenaked Ladies,334
Barns Courtney,335
Baron Dance,336
Barry Louis Polisar,337
Barton Hartshorn,338
Bastille,339
Basto,340
Bazzi,341
Beach House,342
Beady Eye,343
Beastie Boys,344
Bebe Rexha,345
Bebu Silvetti,346
Beck,347
Becky G,348
Bedřich Smetana,349
Bee Gees,350
Beegie Adair,351
Belanova,352
Belbao,353
Belinda,354
Belinda Carlisle,355
Bellakath,356
Belle and Sebastian,357
Belleville,358
Belly,359
Ben E. King,360
Ben Flocks,361
Ben Folds,362
Ben Folds Five,363
Ben Frost,364
Ben Harper,365
Ben Howard,366
Ben Kweller,367
Ben Rector,368
Ben Webster & Oscar Peterson,369
Ben von Wildenhaus,370
Benis Cletin,371
Benito Martinez,372
Benjamin Baker,373
Benjamin Francis Leftwich,374
Benjamin Gibbard,375
Benjamins Friend,376
Benny,377
Benny Goodman Sextet,378
Beny Moré,379
Bessie Smith,380
Betoko,381
Betta Lemme,382
Better Oblivion Community Center,383
Betty Who,384
Beyoncé,385
Beéle,386
Bienvenido Granda,387
Biffy Clyro,388
Big Boy,389
Big Brother & The Holding Company,390
Big Gigantic,391
Big Grams,392
Big Mountain,393
Big Red Machine,394
Big Shaq,395
Big Star,396
Big Thief,397
Big Wild,398
Big Yamo,399
Bill Charlap,400
Bill Charlap Trio,401
Bill Conti,402
Bill Evans,403
Bill Frisell,404
Bill Medley,405
Bill Swindon,406
Bill Valentino,407
Bill Withers,408
Bill Wyman,409
Billie Eilish,410
Billie Holiday,411
Billie The Vision & The Dancers,412
Billy Bragg,413
Billy Idol,414
Billy Joel,415
Billy Mack,416
Bing Crosby,417
Birdtalker,418
Birdy,419
Bishop Briggs,420
Bizarrap,421
Black Atlass,422
Black Coffee,423
Black Eyed Peas,424
Black Joe Lewis,425
Black Lips,426
Black Pumas,427
Black Sabbath,428
Black Sugar,429
Black Uhuru,430
Blackberry Smoke,431
Blackie & Lois,432
Blackway,433
Bladverk Band,434
Blake Mills,435
Blake Shelton,436
Blaze,437
Bleachers,438
Bleecker Jazz Duo,439
Bleeker,440
Bleu Toucan,441
Blind Faith,442
Blind Melon,443
Blind Willie Johnson,444
Blitzen Trapper,445
Bloc Party,446
Blondfire,447
Blondie,448
Bloodstone,449
Blue,450
Blue Foundation,451
Blue Mink,452
Blue Scholars,453
Blue Swede,454
Blue Öyster Cult,455
Blur,456
Blythe Davidson,457
Bo Boss,458
Bo Diddley,459
Boards of Canada,460
Bob Dylan,461
Bob Marley & The Wailers,462
Bob Seger,463
Bob Seger & The Last Heard,464
Bobby Caldwell,465
Bobby Darin,466
Bobby Darin & The Rinky-Dinks,467
Bobby Durham,468
Bobby Helms,469
Bobby Hutcherson,470
Bobby Oroza,471
Bobby Patterson,472
Bobby Womack,473
Boby Drum,474
Bomba Estéreo,475
Bombay Bicycle Club,476
Bon Iver,477
Bon Jovi,478
Bonka,479
Bonnie Raitt,480
Bonnie Tyler,481
Bonno Neo,482
Bonny Light Horseman,483
Bonobo,484
Booker Ervin,485
Booker T. & the M.G.'s,486
BoomBox,487
Born At Midnite,488
Born Ruffians,489
Boston,490
Bowling For Soup,491
Boyce Avenue,492
Boza,493
Brad Barr,494
Brad Mehldau,495
Brad Paisley,496
Bradley Cooper,497
Brandi Carlile,498
Brandon Deshon,499
Brandon Flowers,500
Brandon Jenner,501
Brandy Charles,502
Branford Marsalis Quartet,503
Bre Kennedy,504
Breakbot,505
Breathe Carolina,506
Brenda Lee,507
Brett Dennen,508
Brett Eldredge,509
Brett Williams,510
Brian Wilson,511
Bright Eyes,512
Brijean,513
Bristol-Myers,514
Briston Maroney,515
Britney Spears,516
Broken Bells,517
Bronco,518
Bronwen,519
Brooks,520
Brooks & Dunn,521
Brother Ali,522
Brotherhood of Man,523
Bruce Cockburn,524
Bruce Springsteen,525
Bruno Borlone,526
Bruno Mars,527
Bruno Martini,528
Bruno Sanders,529
Bryan Adams,530
Bryan Ferry,531
Bryan Kennedy,532
Bryce Fox,533
Bryce Vine,534
Bryson Tiller,535
Bubbs,536
Buchanan Brothers,537
Bud Powell Trio,538
Buddy Holly,539
Buddy Rich Big Band,540
Buena Vista Social Club,541
Buffalo Springfield,542
Buffy Sainte-Marie,543
Bufi,544
Bunbury,545
Burl Ives,546
Bustamante,547
Buzzard Buzzard Buzzard,548
BØRNS,549
C-Funk,550
C-Kan,551
C. Tangana,552
CAKE,553
CAN,554
CAPYAC,555
CHIC,556
CLOVES,557
CLUBZ,558
CMC 3,559
CNCO,560
COIN,561
CRFT,562
CRX,563
Caamp,564
Caballo Dorado,565
Caesars,566
Caetano Veloso,567
Café Tacvba,568
Cage The Elephant,569
Caiola,570
Caity Gyorgy,571
Cala (Rostros Ocultos),572
Calexico,573
Cali Y El Dandee,574
Calibre 50,575
Califone,576
Calle 13,577
Caloncho,578
Calor Norteño,579
Calvin Harris,580
Camelo,581
Camera Obscura,582
Cameron Avery,583
Camila,584
Camila Cabello,585
Camille,586
Camille Saint-Saëns,587
Camilo,588
Camilo Branca,589
Candi Staton,590
Canned Heat,591
Cannonball Adderley,592
Cantares,593
Canteen,594
Car Seat Headrest,595
Cardellino,596
Cardenales De Nuevo León,597
Cardi B,598
Carin Leon,599
Carl Ditters von Dittersdorf,600
Carl Perkins,601
Carl Philipp Emanuel Bach,602
Carl Winther Trio,603
Carla Morrison,604
Carla Moses,605
Carla Rego,606
Carla Thomas,607
Carlos Baute,608
Carlos Cipa,609
Carlos Colosio,610
Carlos Gardel,611
Carlos Henry,612
Carlos Rafael Rivera,613
Carlos Rivera,614
Carlos Sadness,615
Carlos Santana,616
Carlos Varela,617
Carlos Vives,618
Carlos uzi,619
Carly Rae Jepsen,620
Carmen Miranda,621
Carmen Sarahi,622
Carol Maddox,623
Caroline Spence,624
Carpenters,625
Carré Bleu,626
Carsie Blanton,627
Cartel De Santa,628
Cass McCombs,629
Cassidy,630
Cassio Kohl,631
Cast,632
Cast of Mamma Mia! The Movie,633
Catfish and the Bottlemen,634
Cautious Clay,635
Cayucas,636
Cazzeros,637
Celia Cloten,638
Celia Cruz,639
Chad & Jeremy,640
Challem,641
Chambao,642
Champion Jack Dupree,643
Chance the Rapper,644
Change,645
Chansons d´Accordeon,646
Charanga 76,647
Charles Ans,648
Charles Bradley,649
Charles Goose,650
Charles Gounod,651
Charles Mingus,652
Charley Crockett,653
Charli xcx,654
Charlie Cruz,655
Charlie Parker,656
Charlie Parr,657
Charlie Puth,658
Charly Black,659
Charly García,660
Chase Atlantic,661
Chayanne,662
Cheap Trick,663
Chema Rivas,664
Chemical Surf,665
Cheo,666
Cher Lloyd,667
Cherokee,668
Cherub,669
Cheryl Patterson,670
Chet Atkins,671
Chet Baker,672
Chet Faker,673
Chevy Chase,674
ChiChi Peralta,675
Chicago,676
Chicano Batman,677
Chicho Sánchez Ferlosio,678
Chick Webb,679
Child Of The Parish,680
Childish Gambino,681
Chimbala,682
Chino & Nacho,683
Chino Pacas,684
Chiquetere Band,685
Chisu,686
ChocQuibTown,687
Chocolate,688
Chris Bell,689
Chris Benstead,690
Chris Brown,691
Chris Cornell,692
Chris Isaak,693
Chris Jedi,694
Chris Memento,695
Chris Stapleton,696
Chris Thile,697
ChrisLee,698
Chrissie Hynde,699
Christian Daniel,700
Christian Kuria,701
Christian McBride Trio,702
Christian Nodal,703
Christina Perri,704
Christine Baranski,705
Christoph Willibald Gluck,706
Chromeo,707
Chuck Berry,708
Chuck Prophet,709
Church of the Cosmic Skull,710
Ciara Lowry,711
Cicada Rhythm,712
Cimafunk,713
Cinderella,714
Circa Waves,715
Circus Band,716
Claptone,717
Clarence Reid,718
Clase-A,719
Classixx,720
Claude Bolling,721
Claude Debussy,722
Claudio Jr De Rosa,723
Claudio Ranalli,724
Clean Bandit,725
Clem Snide,726
Clifford Brown,727
Clint Eastwood,728
Clive Richardson,729
Club Unicorn,730
Club del Río,731
Clément,732
Coast Modern,733
Cocofunka,734
Cody Simpson,735
Coffee House Instrumental Jazz Playlist,736
Colbie Caillat,737
Cold Frame,738
Cold War Kids,739
Coldplay,740
Cole Porter,741
Coleman Hawkins,742
Colin Hay,743
Collabro,744
Collie Buddz,745
Colm Wilkinson,746
Colter Wall,747
Combo Cadre,748
Comisario Pantera,749
Commodores,750
Common Market,751
Conal Fowkes,752
Conjunto Rio Grande,753
Connor Price,754
Conor Oberst and the Mystic Valley Band,755
Constance Timon,756
Consuelo Velasquez,757
Contacto Norte,758
Control,759
Cookin' On 3 Burners,760
