track_id,track_name,image_url
549ixZcshY43IrSP1lXDY3,Los Gavilanes - Remastered,https://i.scdn.co/image/ab67616d0000b2739a686fbd9ee8ced578b74461
54ctg2t1N89MJetwAhMHhw,The Banishment of Éomer,https://i.scdn.co/image/ab67616d0000b2730f4bf5c96c9ee54fa00944c4
57nNNkgk768QVXq3uHxu5e,Ways to Go,https://i.scdn.co/image/ab67616d0000b2734cfe4b79188595b591b1f50a
5IVuqXILoxVWvWEPm82Jxr,Crazy In Love (feat. Jay-Z),https://i.scdn.co/image/ab67616d0000b27345680a4a57c97894490a01c1
5NUXE8W12lWcUXgJRCjeEw,One Too Many,https://i.scdn.co/image/ab67616d0000b273f2a428f109f825ec22c64656
5ZYR17P7sT73hcIMn9tmZ8,Tu Y Yo - Cumbia Remix,https://i.scdn.co/image/ab67616d0000b2734e101da6dbdaf5dc47c0812d
5gOfC9UzZQzTyShqPMrpjT,wacced out murals,https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58
5vTcmSXFfBUcFUV0FUg9RD,Joy Ride,https://i.scdn.co/image/ab67616d0000b273a43cd43ef4f3b2d5413b17f9
60gfsjq0ZiSeTNozFfO8bl,Bay B. MoMa,https://i.scdn.co/image/ab67616d0000b273fff471717b39252ece93b7bb
66Rcb9KAMg7bG8eL0aNadZ,Hola Soledad,https://i.scdn.co/image/ab67616d0000b273364e15f72b884587b1b1d5f1
69AeMy2CV3uXJMWwc9HXRU,Aviation - The Dream Synopsis EP Version,https://i.scdn.co/image/ab67616d0000b2737bf463cac1d9ba886d59e8c0
6FemVsNUb2lzWsDRm14FUJ,Rain,https://i.scdn.co/image/ab67616d0000b2737fe0e5ab2c2fff4947cb1579
6FsdYdezXttjTiaZ8UIBEw,Vinterdans,https://i.scdn.co/image/ab67616d0000b273a7ac4acdc90dad4d71bebf7e
6FxqtE2qGA5ub3GxiB6Iw0,The Beatle Suite,https://i.scdn.co/image/ab67616d0000b2731136865542abf6e0583bf20a
6HIgbYCr7gh2bhj00948fK,Anywhere But Here,https://i.scdn.co/image/ab67616d0000b27309de1a2ef63f0fe8d9776520
6LEJsHo21kCF3Bf1kpSN76,Fans,https://i.scdn.co/image/ab67616d0000b273e332bef2092236a99909af39
6NrwaVjdLbYsU9Omdbzgtp,Time and Place,https://i.scdn.co/image/ab67616d0000b273ae509ef722fb9d4af754e4d9
6WE7jSshLCuVKoCmobVKVf,Heartbreaker - 1990 Remaster,https://i.scdn.co/image/ab67616d0000b273fc4f17340773c6c3579fea0d
6YfEvtwpQwGAWZBWzNmoIw,I Need Never Get Old,https://i.scdn.co/image/ab67616d0000b273e564c5e6be9e9cace137b989
6aNP9GlBi3VHPXl7w3Qjr9,'39 - Remastered 2011,https://i.scdn.co/image/ab67616d0000b273e319baafd16e84f0408af2a0
6rIxI6XCBs3JzDuX4Bl8l5,I Will - Take 13,https://i.scdn.co/image/ab67616d0000b2739daf50d073fd6e7ad9bc0076
6wfK1R6FoLpmUA9lk5ll4T,Please Mister Postman - Remastered 2009,https://i.scdn.co/image/ab67616d0000b273608a63ad5b18e99da94a3f73
6yE6AL3D5lq25jtTAESkVu,Miracle Man,https://i.scdn.co/image/ab67616d0000b2733d3c385f7bc57613553ed8af
779FnhmNjhwSg3a5Qe8KrZ,Infinity,https://i.scdn.co/image/ab67616d0000b27398c36965b14a067801648020
7BQo49Dyko57AIFaHMcAi2,Romeo y Julieta,https://i.scdn.co/image/ab67616d0000b2736eb7e328fe023363bf12714e
7CibVk9GCsb8RQYCnhAl14,"St. James Infirmary - Live At Symphony Hall, Boston, MA/1947",https://i.scdn.co/image/ab67616d0000b27301c1275dd7af2c29a73c2545
7MF5UwTUzs1A1tcXDkyC1S,Yesterday I Heard the Rain,https://i.scdn.co/image/ab67616d0000b273796c0744b04db30174704d24
7MtdhnO67fNwuF7Bes1xOh,De Alguna Manera,https://i.scdn.co/image/ab67616d0000b2734ed4dcbb95b90f9f224e6649
7b05MrHAQLyBKfKMPNZdkO,Walk (feat. Fetty Wap),https://i.scdn.co/image/ab67616d0000b273a1921be272aadcab16ae16ef
